 R, CoupledClusterDoubles, CoupledClusterDoublesSparse, CoupledClusterDoublesOptimized
 2,                0.0051,                      0.2145,                         0.0266
 3,                0.0196,                      0.1999,                         0.0220
 4,                0.1700,                      0.1971,                         0.0388
 5,                0.9606,                      0.2183,                         0.0490
 6,                3.9373,                      0.2636,                         0.0595
 7,               12.9825,                      0.4227,                         0.1093
 8,               36.8791,                      0.7901,                         0.1853
 9,               90.8256,                      1.6435,                         0.4581
10,              207.4216,                      3.3662,                         1.0209
11,              428.1083,                      6.5295,                         2.1038
12,                      ,                     13.2008,                         6.0271
